order_id,timestamp,account_id,symbol,side,price,quantity,status,submitted_at,cancelled_at,filled_at
ORD_000001,2026-05-20T09:37:16+00:00,ACC_0067,ETH/USDT,buy,3643.329377,6.116164,filled,2026-05-20T09:37:06+00:00,,2026-05-20T09:37:16+00:00
ORD_000002,2026-05-20T09:37:16+00:00,ACC_0069,ETH/USDT,sell,3643.329377,6.116164,filled,2026-05-20T09:37:06+00:00,,2026-05-20T09:37:16+00:00
ORD_000003,2026-05-17T10:23:58+00:00,ACC_0007,BTC/USDT,buy,68495.023857,10.775024,filled,2026-05-17T10:23:48+00:00,,2026-05-17T10:23:58+00:00
ORD_000004,2026-05-17T10:23:58+00:00,ACC_0062,BTC/USDT,sell,68495.023857,10.775024,filled,2026-05-17T10:23:48+00:00,,2026-05-17T10:23:58+00:00
ORD_000005,2026-05-16T16:15:49+00:00,ACC_0069,ETH/USDT,buy,3625.200918,13.813323,filled,2026-05-16T16:15:39+00:00,,2026-05-16T16:15:49+00:00
ORD_000006,2026-05-16T16:15:49+00:00,ACC_0067,ETH/USDT,sell,3625.200918,13.813323,filled,2026-05-16T16:15:39+00:00,,2026-05-16T16:15:49+00:00
ORD_000007,2026-05-12T16:17:21+00:00,ACC_0068,BTC/USDT,buy,67976.387264,2.230366,filled,2026-05-12T16:17:11+00:00,,2026-05-12T16:17:21+00:00
ORD_000008,2026-05-12T16:17:21+00:00,ACC_0006,BTC/USDT,sell,67976.387264,2.230366,filled,2026-05-12T16:17:11+00:00,,2026-05-12T16:17:21+00:00
ORD_000009,2026-05-12T20:26:32+00:00,ACC_0065,XRP/USDT,buy,0.62098,4.299956,filled,2026-05-12T20:26:22+00:00,,2026-05-12T20:26:32+00:00
ORD_000010,2026-05-12T20:26:32+00:00,ACC_0056,XRP/USDT,sell,0.62098,4.299956,filled,2026-05-12T20:26:22+00:00,,2026-05-12T20:26:32+00:00
ORD_000011,2026-05-20T17:06:13+00:00,ACC_0056,ETH/USDT,buy,3637.013879,5.872584,filled,2026-05-20T17:06:03+00:00,,2026-05-20T17:06:13+00:00
ORD_000012,2026-05-20T17:06:13+00:00,ACC_0066,ETH/USDT,sell,3637.013879,5.872584,filled,2026-05-20T17:06:03+00:00,,2026-05-20T17:06:13+00:00
ORD_000013,2026-05-11T09:20:58+00:00,ACC_0041,ETH/USDT,buy,3603.644831,49.90051,filled,2026-05-11T09:20:48+00:00,,2026-05-11T09:20:58+00:00
ORD_000014,2026-05-11T09:20:58+00:00,ACC_0065,ETH/USDT,sell,3603.644831,49.90051,filled,2026-05-11T09:20:48+00:00,,2026-05-11T09:20:58+00:00
ORD_000015,2026-05-18T16:52:59+00:00,ACC_0057,ETH/USDT,buy,3651.404003,21.043297,filled,2026-05-18T16:52:49+00:00,,2026-05-18T16:52:59+00:00
ORD_000016,2026-05-18T16:52:59+00:00,ACC_0066,ETH/USDT,sell,3651.404003,21.043297,filled,2026-05-18T16:52:49+00:00,,2026-05-18T16:52:59+00:00
ORD_000017,2026-05-21T11:14:31+00:00,ACC_0069,BTC/USDT,buy,68977.514663,6.051751,filled,2026-05-21T11:14:21+00:00,,2026-05-21T11:14:31+00:00
ORD_000018,2026-05-21T11:14:31+00:00,ACC_0015,BTC/USDT,sell,68977.514663,6.051751,filled,2026-05-21T11:14:21+00:00,,2026-05-21T11:14:31+00:00
ORD_000019,2026-05-17T09:19:15+00:00,ACC_0066,BTC/USDT,buy,68302.997817,3.388637,filled,2026-05-17T09:19:05+00:00,,2026-05-17T09:19:15+00:00
ORD_000020,2026-05-17T09:19:15+00:00,ACC_0053,BTC/USDT,sell,68302.997817,3.388637,filled,2026-05-17T09:19:05+00:00,,2026-05-17T09:19:15+00:00
ORD_000021,2026-05-19T01:31:13+00:00,ACC_0052,ETH/USDT,buy,3628.884564,24.854945,filled,2026-05-19T01:31:03+00:00,,2026-05-19T01:31:13+00:00
ORD_000022,2026-05-19T01:31:13+00:00,ACC_0053,ETH/USDT,sell,3628.884564,24.854945,filled,2026-05-19T01:31:03+00:00,,2026-05-19T01:31:13+00:00
ORD_000023,2026-05-10T18:47:16+00:00,ACC_0078,ETH/USDT,buy,3581.294744,25.993581,filled,2026-05-10T18:47:06+00:00,,2026-05-10T18:47:16+00:00
ORD_000024,2026-05-10T18:47:16+00:00,ACC_0068,ETH/USDT,sell,3581.294744,25.993581,filled,2026-05-10T18:47:06+00:00,,2026-05-10T18:47:16+00:00
ORD_000025,2026-05-10T15:34:18+00:00,ACC_0074,SOL/USDT,buy,165.694422,223.963433,filled,2026-05-10T15:34:08+00:00,,2026-05-10T15:34:18+00:00
ORD_000026,2026-05-10T15:34:18+00:00,ACC_0068,SOL/USDT,sell,165.694422,223.963433,filled,2026-05-10T15:34:08+00:00,,2026-05-10T15:34:18+00:00
ORD_000027,2026-05-14T10:47:15+00:00,ACC_0041,XRP/USDT,buy,0.621121,11.295732,filled,2026-05-14T10:47:05+00:00,,2026-05-14T10:47:15+00:00
ORD_000028,2026-05-14T10:47:15+00:00,ACC_0062,XRP/USDT,sell,0.621121,11.295732,filled,2026-05-14T10:47:05+00:00,,2026-05-14T10:47:15+00:00
ORD_000029,2026-05-14T16:00:30+00:00,ACC_0079,XRP/USDT,buy,0.624702,17.398549,filled,2026-05-14T16:00:20+00:00,,2026-05-14T16:00:30+00:00
ORD_000030,2026-05-14T16:00:30+00:00,ACC_0013,XRP/USDT,sell,0.624702,17.398549,filled,2026-05-14T16:00:20+00:00,,2026-05-14T16:00:30+00:00
ORD_000031,2026-05-19T11:42:11+00:00,ACC_0046,SOL/USDT,buy,166.703935,11.52023,filled,2026-05-19T11:42:01+00:00,,2026-05-19T11:42:11+00:00
ORD_000032,2026-05-19T11:42:11+00:00,ACC_0070,SOL/USDT,sell,166.703935,11.52023,filled,2026-05-19T11:42:01+00:00,,2026-05-19T11:42:11+00:00
ORD_000033,2026-05-15T16:23:35+00:00,ACC_0083,SOL/USDT,buy,165.286485,32.830814,filled,2026-05-15T16:23:25+00:00,,2026-05-15T16:23:35+00:00
ORD_000034,2026-05-15T16:23:35+00:00,ACC_0068,SOL/USDT,sell,165.286485,32.830814,filled,2026-05-15T16:23:25+00:00,,2026-05-15T16:23:35+00:00
ORD_000035,2026-05-20T23:18:00+00:00,ACC_0027,XRP/USDT,buy,0.627817,14.245239,filled,2026-05-20T23:17:50+00:00,,2026-05-20T23:18:00+00:00
ORD_000036,2026-05-20T23:18:00+00:00,ACC_0016,XRP/USDT,sell,0.627817,14.245239,filled,2026-05-20T23:17:50+00:00,,2026-05-20T23:18:00+00:00
ORD_000037,2026-05-10T03:56:15+00:00,ACC_0066,BTC/USDT,buy,67661.0091,3.416765,filled,2026-05-10T03:56:05+00:00,,2026-05-10T03:56:15+00:00
ORD_000038,2026-05-10T03:56:15+00:00,ACC_0026,BTC/USDT,sell,67661.0091,3.416765,filled,2026-05-10T03:56:05+00:00,,2026-05-10T03:56:15+00:00
ORD_000039,2026-05-09T20:50:41+00:00,ACC_0068,SOL/USDT,buy,165.539163,4.30926,filled,2026-05-09T20:50:31+00:00,,2026-05-09T20:50:41+00:00
ORD_000040,2026-05-09T20:50:41+00:00,ACC_0062,SOL/USDT,sell,165.539163,4.30926,filled,2026-05-09T20:50:31+00:00,,2026-05-09T20:50:41+00:00
ORD_000041,2026-05-10T16:04:48+00:00,ACC_0062,XRP/USDT,buy,0.619513,8.920107,filled,2026-05-10T16:04:38+00:00,,2026-05-10T16:04:48+00:00
ORD_000042,2026-05-10T16:04:48+00:00,ACC_0061,XRP/USDT,sell,0.619513,8.920107,filled,2026-05-10T16:04:38+00:00,,2026-05-10T16:04:48+00:00
